"Sample","Cluster"
"SRR8477377",1
"SRR8477378",1
"SRR8477379",1
"SRR8477380",1
"SRR8477381",1
"SRR8477383",1
"SRR8477384",1
"SRR8477385",1
"SRR8477386",1
"SRR8477387",1
"SRR8477388",1
"SRR8477389",1
"SRR8477390",1
"SRR8477391",1
"SRR8477392",1
"SRR8477393",1
"SRR8477394",1
"SRR8477395",1
"SRR8477396",1
"SRR8477397",1
"SRR8477398",1
"SRR8477399",1
"SRR8477400",1
"SRR8477401",1
"SRR8477402",1
"SRR8477403",1
"SRR8477404",1
"SRR8477405",1
"SRR8477406",1
"SRR8477407",1
"SRR8477408",1
"SRR8477409",1
"SRR8477410",1
"SRR8477411",1
"SRR8477412",1
"SRR8477413",1
"SRR8477414",1
"SRR8477415",1
"SRR8477416",1
"SRR8477417",1
"SRR8477419",1
"SRR8477420",1
"SRR8477421",1
"SRR8477422",1
"SRR8477423",1
"SRR8477424",1
"SRR8477425",1
"SRR8477426",1
"SRR8477427",1
"SRR8477428",1
"SRR8477429",1
"SRR8477430",1
"SRR8477431",1
"SRR8477432",1
"SRR8477433",1
"SRR8477434",1
"SRR8477435",1
"SRR8477436",1
"SRR8477437",1
"SRR8477438",1
"SRR8477439",1
"SRR8477440",1
"SRR8477441",1
"SRR8477443",1
"SRR8477444",1
"SRR8477445",1
"SRR8477446",1
"SRR8477447",1
"SRR8477449",1
"SRR8477450",1
"SRR8477451",1
"SRR8477454",1
"SRR8477455",1
"SRR8477456",1
"SRR8477457",1
"SRR8477458",1
"SRR8477459",1
"SRR8477460",1
"SRR8477461",1
"SRR8477462",1
"SRR8477463",1
"SRR8477465",1
"SRR8477466",1
"SRR8477467",1
"SRR8477468",1
"SRR8477469",1
"SRR8477470",1
"SRR8477471",1
"SRR8477472",1
"SRR8477473",1
"SRR8477474",1
"SRR8477475",1
"SRR8477476",1
"SRR8477477",1
"SRR8477478",1
"SRR8477479",1
"SRR8477480",1
"SRR8477481",1
"SRR8477482",1
"SRR8477483",1
"SRR8477484",1
"SRR8477485",1
"SRR8477486",1
"SRR8477487",1
"SRR8477488",1
"SRR8477489",1
"SRR8477490",1
"SRR8477492",1
"SRR8477493",1
"SRR8477494",1
"SRR8477495",1
"SRR8477496",1
"SRR8477497",1
"SRR8477499",1
"SRR8477500",1
"SRR8477501",1
"SRR8477502",1
"SRR8477503",1
"SRR8477504",1
"SRR8477505",1
"SRR8477506",1
"SRR8477507",1
"SRR8477508",1
"SRR8477509",1
"SRR8477514",1
"SRR8477515",1
"SRR8477516",1
"SRR8477517",1
"SRR8477518",1
"SRR8477519",1
"SRR8477520",1
"SRR8477521",1
"SRR8477522",1
"SRR8477523",1
"SRR8477524",1
"SRR8477525",1
"SRR8477526",1
"SRR8477527",1
"SRR8477528",1
"SRR8477529",1
"SRR8477530",1
"SRR8477531",1
"SRR8477532",1
"SRR8477533",1
"SRR8477534",1
"SRR8477535",1
"SRR8477536",1
"SRR8477538",1
"SRR8477539",1
"SRR8477540",1
"SRR8477541",1
"SRR8477542",1
"SRR8477543",1
"SRR8477544",1
"SRR8477545",1
"SRR8477546",1
"SRR8477547",1
"SRR8477548",1
"SRR8477549",1
"SRR8477550",1
"SRR8477551",1
"SRR8477552",1
"SRR8477553",1
"SRR8477554",1
"SRR8477555",1
"SRR8477556",1
"SRR8477557",1
"SRR8477558",1
"SRR8477559",1
"SRR8477560",1
"SRR8477561",1
"SRR8477562",1
"SRR8477563",1
"SRR8477564",1
"SRR8477565",1
"SRR8477566",1
"SRR8477567",1
"SRR8477568",1
"SRR8477569",1
"SRR8477570",1
"SRR8477571",1
"SRR8477572",1
"SRR8477573",1
"SRR8477574",1
"SRR8477575",1
"SRR8477576",1
"SRR8477581",1
"SRR8477582",1
"SRR8477583",1
"SRR8477584",1
"SRR8477585",1
"SRR8477586",1
"SRR8477587",1
"SRR8477588",1
"SRR8477589",1
"SRR8477590",1
"SRR8477591",1
"SRR8477592",1
"SRR8477593",1
"SRR8477594",1
"SRR8477595",1
"SRR8477596",1
"SRR8477597",1
"SRR8477598",1
"SRR8477599",1
"SRR8477600",1
"SRR8477601",1
"SRR8477602",1
"SRR8477603",1
"SRR8477604",1
"SRR8477605",1
"SRR8477606",1
"SRR8477607",1
"SRR8477608",1
"SRR8477609",1
"SRR8477610",1
"SRR8477611",1
"SRR8477612",1
"SRR8477613",1
"SRR8477614",1
"SRR8477615",2
"SRR8477616",2
"SRR8477617",2
"SRR8477618",2
"SRR8477619",2
"SRR8477620",2
"SRR8477621",2
"SRR8477622",2
"SRR8477623",2
"SRR8477624",2
"SRR8477625",2
"SRR8477626",2
"SRR8477627",2
"SRR8477628",2
"SRR8477629",2
"SRR8477630",2
"SRR8477631",2
"SRR8477632",2
"SRR8477633",2
"SRR8477634",2
"SRR8477636",2
"SRR8477637",2
"SRR8477638",2
"SRR8477639",2
"SRR8477641",2
"SRR8477642",2
"SRR8477643",2
"SRR8477644",2
"SRR8477645",2
"SRR8477646",2
"SRR8477647",2
"SRR8477648",2
"SRR8477649",2
"SRR8477650",2
"SRR8477651",2
"SRR8477652",2
"SRR8477653",2
"SRR8477654",2
"SRR8477655",2
"SRR8477656",2
"SRR8477657",2
"SRR8477658",2
"SRR8477659",2
"SRR8477660",2
"SRR8477661",2
"SRR8477662",2
"SRR8477665",2
"SRR8477666",2
"SRR8477667",2
"SRR8477668",2
"SRR8477669",2
"SRR8477670",2
"SRR8477671",2
"SRR8477672",2
"SRR8477673",2
"SRR8477674",2
"SRR8477675",2
"SRR8477679",2
"SRR8477680",2
"SRR8477681",2
"SRR8477682",2
"SRR8477683",2
"SRR8477685",2
"SRR8477686",2
"SRR8477687",2
"SRR8477688",2
"SRR8477689",2
"SRR8477690",2
"SRR8477691",2
"SRR8477692",2
"SRR8477693",2
"SRR8477694",2
"SRR8477695",2
"SRR8477696",2
"SRR8477697",2
"SRR8477698",2
"SRR8477699",2
"SRR8477701",2
"SRR8477702",2
"SRR8477703",2
"SRR8477704",2
"SRR8477705",2
"SRR8477706",2
"SRR8477707",2
"SRR8477708",2
"SRR8477709",2
"SRR8477710",2
